epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1627.88,1.69534,1.3755,1.61448,0.62824,0.60835,0.63947,0.29123,1.88354,1.31219,1.59701,0.005743,0.005743,0.005743
45,1655.29,1.68692,1.36831,1.61607,0.6033,0.63475,0.64401,0.30804,1.78195,1.36782,1.49061,0.005644,0.005644,0.005644
46,1683.32,1.69314,1.36494,1.61506,0.59285,0.55752,0.57722,0.26917,1.86058,1.51025,1.53495,0.005545,0.005545,0.005545
47,1711.27,1.67274,1.38218,1.61856,0.647,0.62966,0.673,0.32517,1.73234,1.32495,1.48633,0.005446,0.005446,0.005446
48,1739.24,1.67612,1.33688,1.60608,0.61769,0.6259,0.65193,0.30103,1.80678,1.33516,1.53268,0.005347,0.005347,0.005347
49,1767.15,1.66653,1.34236,1.59749,0.64425,0.63123,0.67089,0.32035,1.76613,1.25776,1.49739,0.005248,0.005248,0.005248
50,1795.34,1.67297,1.33786,1.59783,0.62381,0.6466,0.6589,0.31271,1.75459,1.39826,1.49044,0.005149,0.005149,0.005149
51,1823.52,1.66529,1.33745,1.60449,0.62233,0.59705,0.6275,0.29025,1.83469,1.39364,1.53546,0.00505,0.00505,0.00505
52,1852,1.67312,1.33977,1.60157,0.66993,0.65569,0.69728,0.33998,1.74767,1.22783,1.49389,0.004951,0.004951,0.004951
53,1880.28,1.65059,1.3241,1.59008,0.59634,0.63698,0.63324,0.29934,1.79067,1.48064,1.52846,0.004852,0.004852,0.004852
54,1908.34,1.63932,1.30097,1.57196,0.66444,0.65321,0.68478,0.33317,1.7344,1.24549,1.46678,0.004753,0.004753,0.004753
55,1936.89,1.64874,1.32202,1.58546,0.65197,0.64409,0.68077,0.33193,1.74869,1.26393,1.47624,0.004654,0.004654,0.004654
56,1965.23,1.64115,1.31177,1.58323,0.64093,0.65381,0.67854,0.33224,1.75208,1.25256,1.48476,0.004555,0.004555,0.004555
57,1993.61,1.65922,1.33073,1.5909,0.6371,0.65538,0.67397,0.33136,1.73391,1.26362,1.49615,0.004456,0.004456,0.004456
58,2018.48,1.66766,1.32972,1.58744,0.62629,0.62684,0.6518,0.30638,1.8044,1.3035,1.51007,0.004357,0.004357,0.004357
59,2046.99,1.63609,1.31672,1.57491,0.58172,0.61869,0.61057,0.27569,1.9027,1.42193,1.58221,0.004258,0.004258,0.004258
60,2075.76,1.6355,1.30528,1.57481,0.59286,0.62329,0.62392,0.29108,1.78249,1.41076,1.50257,0.004159,0.004159,0.004159
61,2104.08,1.62318,1.29265,1.57688,0.62141,0.64283,0.65556,0.32288,1.7495,1.25512,1.49131,0.00406,0.00406,0.00406
62,2132.37,1.63542,1.28972,1.5734,0.64085,0.66353,0.68899,0.33675,1.72691,1.22688,1.47463,0.003961,0.003961,0.003961
63,2160.93,1.64743,1.30527,1.58352,0.59806,0.61869,0.62911,0.28917,1.80468,1.40417,1.49155,0.003862,0.003862,0.003862
64,2189.35,1.63638,1.29913,1.56974,0.64919,0.67357,0.69555,0.33817,1.7384,1.2062,1.48402,0.003763,0.003763,0.003763
65,2217.82,1.61914,1.29231,1.56442,0.6138,0.66573,0.6681,0.32371,1.75792,1.27959,1.48106,0.003664,0.003664,0.003664
66,2246.14,1.63749,1.29058,1.57135,0.64775,0.65275,0.68063,0.33146,1.7502,1.27964,1.49389,0.003565,0.003565,0.003565
67,2274.79,1.6163,1.29272,1.57122,0.59612,0.65412,0.65092,0.31626,1.76358,1.29055,1.49533,0.003466,0.003466,0.003466
68,2303.13,1.61157,1.27869,1.55857,0.64134,0.63307,0.67122,0.31789,1.79175,1.27539,1.50664,0.003367,0.003367,0.003367
69,2331.52,1.61827,1.27513,1.56356,0.63998,0.63656,0.6755,0.32892,1.75716,1.25509,1.47529,0.003268,0.003268,0.003268
70,2359.87,1.60786,1.26584,1.55642,0.64716,0.65789,0.68947,0.33832,1.74714,1.22852,1.47798,0.003169,0.003169,0.003169
71,2388,1.60479,1.25414,1.55516,0.65109,0.64095,0.67023,0.32687,1.77314,1.26843,1.49543,0.00307,0.00307,0.00307
72,2416.49,1.60567,1.26264,1.55364,0.64156,0.64942,0.67957,0.33176,1.77459,1.23475,1.48914,0.002971,0.002971,0.002971
